country,estimated_mortality_per_1000_mean,estimated_mortality_per_1000_count,"Life expectancy at birth, total (years)_mean",child_deprivation_mean
South Sudan,157.2644225,64,39.36255555555555,
Mali,138.22075145787775,64,45.57095238095238,18.5535945892334
Chad,138.11832191773772,64,45.61377777777778,33.46902847290039
Sierra Leone,137.9178118342051,64,45.63642857142857,15.745614051818848
Nigeria,135.97807755885543,64,46.088,16.221643447875977
Niger,135.84780972276212,64,46.259412698412696,32.68775939941406
Malawi,133.61378112696724,64,46.712587301587305,5.74531888961792
Angola,132.9867881232971,64,46.9177619047619,15.839014053344728
Mozambique,131.23777111280978,64,47.378793650793654,27.586400985717773
Timor-Leste,131.0755730859244,64,46.913555555555554,8.97237777709961
Guinea-Bissau,130.0043824519259,64,47.67638095238095,17.80702781677246
Central African Republic,128.49415625,64,47.946825396825396,
Guinea,128.2207924801141,64,48.12487301587302,14.798398971557615
Afghanistan,127.69219437500001,64,48.15255555555555,
Liberia,127.54099742283167,64,48.314888888888895,16.99812126159668
Somalia,126.369554375,64,48.394666666666666,
Burundi,126.21626847643674,64,48.56649206349206,11.888486862182615
Burkina Faso,125.54717375000001,64,48.702825396825396,
Ethiopia,124.87935196465851,64,49.127873015873014,36.12454605102539
"Congo, the Democratic Republic of the",123.01896702133597,64,49.49347619047619,24.22429847717285
Equatorial Guinea,121.05938,64,49.83696825396825,
Namibia,120.88023989200593,1,,8.03242015838623
Uganda,119.48861043460906,64,50.38973015873016,16.111440658569336
Ivory Coast,117.38355224826813,64,50.87473015873016,14.8245849609375
Gambia,116.99161001610369,64,50.99247619047619,6.260041236877441
Benin,115.34068624494493,64,51.473333333333336,22.91413307189941
Rwanda,113.99147008679272,64,51.539031746031746,9.133289337158203
Eritrea,113.772670625,64,51.72338095238095,
Lesotho,112.03572598378241,64,52.1837619047619,10.930135726928713
Zambia,111.38238583236814,64,52.488,18.781230926513672
Cameroon,111.28420422489017,64,52.48193650793651,14.34035587310791
Togo,109.81888788905502,64,52.876349206349204,21.79513931274414
"Tanzania, United Republic of",108.90831879070342,64,53.170031746031746,24.632680892944336
Swaziland,108.87571385871769,64,53.00539682539683,8.317646026611328
Haiti,105.21729693463803,64,54.06471428571429,16.125869750976562
Senegal,105.10148619769991,64,54.11004761904762,12.302865982055664
Lao People's Democratic Republic,104.62012857030123,64,54.23493650793651,13.0916109085083
Comoros,104.61776747164816,64,54.187158730158735,12.29750156402588
Cambodia,104.30765737495541,64,53.790841269841266,22.381084442138672
Sudan,104.2944725,64,54.15485714285714,
Madagascar,104.14277338259458,64,54.43244444444445,31.68415069580078
Djibouti,103.36152125000001,64,54.394190476190474,
Zimbabwe,102.08646402762503,64,54.81730158730159,12.01124668121338
Yemen,101.93040582984686,64,54.92595238095238,13.117958068847656
American Samoa,101.0,64,,
Monaco,101.0,64,,
San Marino,101.0,64,,
Andorra,101.0,64,,
Northern Mariana Islands,101.0,64,,
Ghana,100.69422684548319,64,55.186142857142855,8.840677261352539
Nepal,100.29775216887795,64,55.30836507936508,3.806528329849243
Bhutan,100.27748562500001,64,55.18534920634921,
Cayman Islands,97.90625,64,82.1,
Palau,97.25428368902439,64,70.13420731707318,
Congo,95.9501313287592,64,56.434000000000005,16.222274780273438
"Bolivia, Plurinational State of",94.88118125000001,64,56.56968253968254,
Myanmar,93.73517053809316,64,57.023380952380954,15.299567222595217
Kenya,92.77029084516525,64,57.26426984126984,19.95391845703125
Mauritania,91.29441847554386,64,57.67284126984127,21.723573684692383
Botswana,90.244330625,64,57.759190476190476,
India,88.80204198089392,64,58.29893650793651,10.804110527038574
Bangladesh,88.71148994238884,64,58.23777777777778,6.044215202331543
Papua New Guinea,88.21733691808582,64,58.50190476190476,29.156818389892575
Gabon,86.29413824608044,64,58.87714285714286,5.747222423553467
Pakistan,85.4594170992586,64,59.121968253968255,9.19860553741455
South Africa,84.85919383516506,64,59.232904761904756,3.001555919647217
Mongolia,82.96635122541755,64,59.76736507936508,2.533089637756348
Kiribati,81.38312934244692,64,60.18780952380952,12.365331649780272
Sao Tome and Principe,81.27402444408804,64,60.186460317460316,6.466734886169434
Tuvalu,80.64968375000001,64,60.22053968253968,
Nauru,79.215545,64,60.58844444444445,
Morocco,78.029339375,64,60.89274603174603,
Guatemala,77.5604098310283,64,61.2212380952381,14.829890251159668
Egypt,76.25028421611614,64,61.47514285714286,0.7394988536834717
Indonesia,75.76527125000001,64,61.473555555555556,
Algeria,75.62667657909971,64,61.666920634920636,1.0914756059646606
Marshall Islands,75.56875625,64,61.52396825396825,
El Salvador,75.47432583606057,64,61.69123809523809,2.044326066970825
Tajikistan,74.9446033328449,64,61.81569841269842,2.6853764057159424
Nicaragua,73.325045,64,62.099555555555554,
Maldives,71.96902200671806,64,62.661,0.1647260040044784
Turkmenistan,70.44953617080671,64,62.948238095238096,0.3300161063671112
"Iran, Islamic Republic of",69.422155625,64,63.10077777777778,
Guyana,69.29485846747238,64,63.24550793650794,1.982951045036316
Iraq,68.797651717302,64,63.39649206349206,0.8960241675376892
Honduras,68.51642628148899,64,63.496428571428574,6.619040012359619
Solomon Islands,68.3030225,64,63.38787301587302,
Azerbaijan,66.97438062500001,64,63.72871428571429,
Vanuatu,66.85688,64,63.758857142857146,
Greenland,66.75158384146339,64,67.30021680216804,
"Palestinian Territory, Occupied",66.6071525,64,71.84375757575758,
Oman,64.819150625,64,64.28160317460318,
Kyrgyzstan,64.40948960879659,64,64.51937785520713,0.5088664889335632
Cape Verde,64.0009775,64,64.49149206349206,
Suriname,63.956684748670384,64,64.65241269841269,2.0661041736602783
Fiji,63.811083124999996,64,64.54020634920634,
Peru,63.600320366238215,64,64.76803174603175,3.759146213531494
Dominican Republic,62.63200984629602,64,64.98690476190477,0.735264778137207
Uzbekistan,62.181048125000004,64,64.95836507936508,
Libyan Arab Jamahiriya,61.4878625,64,65.13619047619048,
Brazil,59.680803125000004,64,65.5997619047619,
Kazakhstan,59.63123370426827,64,65.61247812620984,
"Korea, Democratic People's Republic of",58.542736250000004,64,65.89171428571429,
Saudi Arabia,57.649446875,64,66.12087301587302,
Philippines,57.5620175,64,66.1433015873016,
Saint Kitts and Nevis,57.43257500000001,64,66.17650793650793,
Liechtenstein,57.300705792682926,64,80.92111017661901,
Tunisia,57.288935579614815,64,66.3815873015873,0.3953754305839538
"Moldova, Republic of",56.734563125,64,66.35557142857142,
"Micronesia, Federated States of",56.30354187500001,64,66.46614285714286,
Seychelles,56.290181402439025,64,71.80425411230857,
Syrian Arab Republic,55.475716250000005,64,66.67850793650794,
Samoa,55.41136625,64,66.69501587301588,
Turkey,55.287183125000006,64,66.72687301587301,
China,55.154337500000004,64,66.76095238095238,
Tonga,54.78469625000001,64,66.85577777777777,
Paraguay,53.0844900951168,64,67.45901587301587,4.028546333312988
Ecuador,52.514564375000006,64,67.43814285714286,
Vietnam,51.504269375,64,67.69731746031745,
Mauritius,51.30757780487803,64,67.74777545489741,
Belize,50.7987911737486,64,68.03307936507936,2.10506272315979
Thailand,50.748337074951394,64,68.07242857142857,0.1805194318294525
Mexico,50.271811800394374,64,68.17306349206349,0.6799799799919128
Russian Federation,50.03483471036583,64,68.07427680991096,
Jordan,49.81860875,64,68.12974603174604,
Armenia,49.53739931012165,64,68.35900000000001,0.5766431093215942
Georgia,49.11044937500001,64,68.3114126984127,
Colombia,48.109559375,64,68.5681746031746,
Saint Lucia,47.472494375000004,64,68.73160317460318,
Trinidad and Tobago,46.935419374999995,64,68.86938095238095,
Lebanon,46.316855000000004,64,69.0280634920635,
Ukraine,45.41380295731702,64,69.25972667440962,
"Venezuela, Bolivarian Republic of",45.35296625,64,69.27533333333334,
Turks and Caicos Islands,44.86489625,64,69.40053968253969,
Faroe Islands,44.51385975609754,64,79.09349593495936,
Dominica,44.41593125000001,64,69.51571428571428,
Bahamas,44.296450625000006,64,69.54636507936509,
Malaysia,43.699728125,64,69.69944444444444,
Sri Lanka,43.16308625,64,69.83711111111111,
United Arab Emirates,43.10746062500001,64,69.85138095238095,
"Macedonia, the former Yugoslav Republic of",43.06206550304875,64,69.86302632597756,
Jamaica,42.723340625000006,64,69.94992063492064,
Brunei,41.855729375,64,70.17249206349207,
Serbia,41.26931132621951,64,70.32292799070848,
New Caledonia,41.24245153963409,64,70.36537127371274,
Grenada,41.223676250000004,64,70.33463492063493,
St. Vincent and the Grenadines,40.72168437500001,64,70.4634126984127,
Romania,40.574803689024364,64,70.50109252806816,
Belarus,40.458886158536544,64,70.5308292682927,
Latvia,39.7849346036585,64,70.70372048006195,
South Korea,39.43840894817072,64,71.21979365079366,
Bosnia and Herzegovina,38.62814375,64,71.00047619047619,
Argentina,38.019912500000004,64,71.15650793650794,
Hungary,37.956060518292674,64,71.17288811459544,
Panama,37.700390000000006,64,71.23847619047619,
"Virgin Islands, British",37.184105,64,71.37092063492064,
Albania,37.093737704927904,64,71.58553968253969,0.1184590831398963
Estonia,36.9301020884146,64,71.43608091366629,
Guam,36.899356250000004,64,71.44396825396827,
Bahrain,36.454413125,64,71.55841269841271,
Chile,36.33951125,64,71.60168253968254,
Lithuania,35.86565137195119,64,71.70914827719706,
Aruba,35.267155625,64,71.86268253968254,
Bulgaria,34.96804131097561,64,71.93941540843981,
"Virgin Islands, U.S.",34.63103836890244,64,72.03202361595045,
Isle of Man,33.83926625,64,72.29273015873017,
French Polynesia,33.486455,64,72.77107936507937,
Croatia,33.263609923780464,64,72.37665931087882,
Barbados,32.577635,64,72.55263492063492,
Slovakia,32.57145655487803,64,72.55421989934186,
Poland,32.55146036585365,64,72.55934959349594,
Qatar,32.396403125,64,72.67311111111111,
Kuwait,32.344675625,64,72.6165873015873,
Montenegro,31.593239969512176,64,72.80516531165311,
Uruguay,30.784868750000005,64,73.01253968253968,
Antigua and Barbuda,29.734107500000004,64,73.28209523809524,
Czech Republic,29.286316615853615,64,73.396968641115,
Cuba,29.266208750000004,64,73.40212698412698,
Costa Rica,28.93690600171568,64,73.68147619047619,0.1117932200431823
Portugal,28.850461570121922,64,73.71981378242354,
Cyprus,28.048756250000004,64,73.90323809523811,
Slovenia,27.412137957317057,64,74.03493999225707,
Puerto Rico,24.729471875,64,74.57280952380951,
Singapore,24.104738109756124,64,75.32536585365854,
Bermuda,23.949351874999998,64,74.97825396825397,
United States,23.400298780487763,64,74.90692992644213,
Luxembourg,23.23460205792681,64,75.39407471931862,
Malta,22.966306021341442,64,75.43866627951994,
Israel,22.60991356707315,64,77.03833402232327,
Ireland,22.207078643292686,64,75.57900077429346,
Finland,22.17956539634142,64,75.48226480836239,
Austria,21.837275914634116,64,75.58741773132017,
Germany,21.565890655487774,64,75.53471041424702,
Macao,20.575988750000004,64,76.8490634920635,
Belgium,20.475844817073146,64,75.89145180023229,
New Zealand,19.884591463414637,64,76.18503290747194,
Denmark,19.65559359756096,64,76.03307781649247,
Gibraltar,19.46261,64,76.41776190476192,
United Kingdom,19.43720503048781,64,76.14198606271776,
Hong Kong,18.447663810975595,64,77.35867440960125,
France,18.407137195121933,64,76.74765776229192,
Italy,18.231925304878015,64,76.92044134727062,
Australia,17.986236280487777,64,76.92481610530392,
Greece,17.85716050304876,64,76.5473205574913,
Spain,17.494164024390212,64,77.09990708478514,
Canada,16.256769664634135,64,77.1390553619822,
Netherlands,15.416884451219481,64,77.27337204800621,
Japan,15.208320426829241,64,78.13194734804492,
Switzerland,15.151953810975597,64,77.8521757646148,
Norway,14.862273170731674,64,77.60097560975612,
Sweden,13.500042225609736,64,78.01048006194348,
Iceland,12.841369268292652,64,78.32172822299653,
